from_user,text,created_at,time,geo_coordinates,user_lang,in_reply_to_screen_name,from_user_id_str,in_reply_to_status_id_str,profile_image_url,embed_img
prof2go,"#unAEL13 @Mark_DuBois At Adobe Headquarters in SJ
 http://t.co/NPxhVKTxcF",Sun Jul 28 19:44:58 +0000 2013,28/7/2013 20:44,,en,prof2go,976670742,3.62E+17,https://pbs.twimg.com/profile_images/452310450537902080/cEkHDx5p_bigger.png,
neotech03,Social Media should enable conversations.  Idea&gt; invite expert to answer student questions through twitter.  follow expert #unAEL13,Sun Jul 28 19:43:31 +0000 2013,28/7/2013 20:43,,en,,15801762,,https://pbs.twimg.com/profile_images/452310450537902080/cEkHDx5p_bigger.png,
burcuaybat,Try MetroTwit for Windows tablets. #unAEL13 http://t.co/aRzHDW32Wq,Sun Jul 28 19:39:15 +0000 2013,28/7/2013 20:39,,en,,115590631,,https://pbs.twimg.com/profile_images/452310450537902080/cEkHDx5p_bigger.png,
armsdan,@Mark_DuBois just dominated his #PechaKucha about #brackets at #unael13,Sun Jul 28 19:38:22 +0000 2013,28/7/2013 20:38,,en,Mark_DuBois,162408678,,https://pbs.twimg.com/profile_images/452310450537902080/cEkHDx5p_bigger.png,
AdobeEdLeader,"Mark talks ""Brackets"" during Pechu Kucha preso's.  #unAEL13 http://t.co/6eym8enXCY",Sun Jul 28 19:37:04 +0000 2013,28/7/2013 20:37,,en,,1080245588,,https://pbs.twimg.com/profile_images/452310450537902080/cEkHDx5p_bigger.png,
smr10,Are you holding on to your sliderule? Accept positive things that come out of change.  #unael13 #ael13,Sun Jul 28 19:35:38 +0000 2013,28/7/2013 20:35,,en,,16090997,,https://pbs.twimg.com/profile_images/452310450537902080/cEkHDx5p_bigger.png,
coachk,#unAEL13 Social media tip: Student leaders have a special sticker on comps to show they are a go-to resource for help. Builds community.,Sun Jul 28 19:35:28 +0000 2013,28/7/2013 20:35,,en,,3539791,,https://pbs.twimg.com/profile_images/452310450537902080/cEkHDx5p_bigger.png,
openclssrm,#unael13 #pechakucha smack downs in progress https://t.co/hgu9jZkQeK,Sun Jul 28 19:34:03 +0000 2013,28/7/2013 20:34,,en,,185511924,,https://pbs.twimg.com/profile_images/452310450537902080/cEkHDx5p_bigger.png,
smr10,Learning art of presenting via pecha kucha. Great concept #unael13 #ael13,Sun Jul 28 19:33:53 +0000 2013,28/7/2013 20:33,,en,,16090997,,https://pbs.twimg.com/profile_images/452310450537902080/cEkHDx5p_bigger.png,
AdobeEdLeader,"Dan talks ""Barriers"" during Pechu Kucha preso's.  #unAEL13 http://t.co/hfrl1LiLzj",Sun Jul 28 19:33:42 +0000 2013,28/7/2013 20:33,,en,,1080245588,,https://pbs.twimg.com/profile_images/452310450537902080/cEkHDx5p_bigger.png,
iusher,Incoming at #unael13 https://t.co/fQxfsR3g5A,Sun Jul 28 19:27:05 +0000 2013,28/7/2013 20:27,,en,,1299221,,https://pbs.twimg.com/profile_images/452310450537902080/cEkHDx5p_bigger.png,
AdobeEdLeader,RT @openclssrm: @pipcleaves sharing her @AdobeEdLeader story in 6mins40secs via @AdobeConnect  #unael13,Sun Jul 28 19:19:25 +0000 2013,28/7/2013 20:19,,en,,1080245588,,https://pbs.twimg.com/profile_images/452310450537902080/cEkHDx5p_bigger.png,
AdobeEdLeader,RT @coachk: #unAEL13 Making real industry connections w students grows motivation. TFS examples! @DustyUnderscore @themaclab @TomGreen @web…,Sun Jul 28 19:19:06 +0000 2013,28/7/2013 20:19,,en,,1080245588,,https://pbs.twimg.com/profile_images/452310450537902080/cEkHDx5p_bigger.png,
coachk,"#unAEL13 Using Social Media session- 4C’s of social media: community, convos, communicate, content. Have a purpose for yr grp to tweet.",Sun Jul 28 19:18:48 +0000 2013,28/7/2013 20:18,,en,,3539791,,https://pbs.twimg.com/profile_images/452310450537902080/cEkHDx5p_bigger.png,
AdobeEdLeader,“@neotech03: Session5  thanks @JosephLabrecque for helping troubleshoot EdgeA index problem http://t.co/wE2VBh5ETY  #unAEL13”,Sun Jul 28 19:17:52 +0000 2013,28/7/2013 20:17,,en,neotech03,1080245588,3.62E+17,https://pbs.twimg.com/profile_images/452310450537902080/cEkHDx5p_bigger.png,
openclssrm,@pipcleaves sharing her @AdobeEdLeader story in 6mins40secs via @AdobeConnect  #unael13,Sun Jul 28 19:14:25 +0000 2013,28/7/2013 20:14,,en,pipcleaves,185511924,,https://pbs.twimg.com/profile_images/452310450537902080/cEkHDx5p_bigger.png,
neotech03,Session5  thanks @JosephLabrecque for helping troubleshoot EdgeA index problem http://t.co/vS7WeBPvUa  #unAEL13,Sun Jul 28 18:55:43 +0000 2013,28/7/2013 19:55,,en,,15801762,,https://pbs.twimg.com/profile_images/452310450537902080/cEkHDx5p_bigger.png,
JasonCarthew,It is great so see the collaborative focus of AELs #unael13,Sun Jul 28 18:55:06 +0000 2013,28/7/2013 19:55,,en,,234102426,,https://pbs.twimg.com/profile_images/452310450537902080/cEkHDx5p_bigger.png,
pipcleaves,"RT @AdobeEdLeader: ""Build a Creative Fire"" #unAEL13 http://t.co/ogMxaaJ0X8",Sun Jul 28 18:53:38 +0000 2013,28/7/2013 19:53,,en,,30757847,,https://pbs.twimg.com/profile_images/452310450537902080/cEkHDx5p_bigger.png,
Pennyd,"#unAEL13  smack downs, mini agencies, mentors and more to encourage #creativity!",Sun Jul 28 18:53:23 +0000 2013,28/7/2013 19:53,,en,,16700785,,https://pbs.twimg.com/profile_images/452310450537902080/cEkHDx5p_bigger.png,
coachk,Yes! Failure—&gt; growth. “@Mark_DuBois: One way to fire up students - make sure they understand it is okay to fail. Learn from it. #unAEL13”,Sun Jul 28 18:53:03 +0000 2013,28/7/2013 19:53,,en,,3539791,,https://pbs.twimg.com/profile_images/452310450537902080/cEkHDx5p_bigger.png,
Pennyd,#unael13  great creative ideas to sour our students on!,Sun Jul 28 18:52:04 +0000 2013,28/7/2013 19:52,,en,,16700785,,https://pbs.twimg.com/profile_images/452310450537902080/cEkHDx5p_bigger.png,
webspaceinvader,RT @coachk: #unAEL13 Making real industry connections w students grows motivation. TFS examples! @DustyUnderscore @themaclab @TomGreen @web…,Sun Jul 28 18:52:03 +0000 2013,28/7/2013 19:52,,en,,20772444,,https://pbs.twimg.com/profile_images/452310450537902080/cEkHDx5p_bigger.png,
coachk,#unAEL13 Making real industry connections w students grows motivation. TFS examples! @DustyUnderscore @themaclab @TomGreen @webspaceinvader,Sun Jul 28 18:51:46 +0000 2013,28/7/2013 19:51,,en,,3539791,,https://pbs.twimg.com/profile_images/452310450537902080/cEkHDx5p_bigger.png,
Mark_DuBois,One way to fire up students - make sure they understand it is of to fail. Learn from it. #unAEL13,Sun Jul 28 18:51:15 +0000 2013,28/7/2013 19:51,,en,,29551445,,https://pbs.twimg.com/profile_images/452310450537902080/cEkHDx5p_bigger.png,
AdobeEdLeader,"""Build a Creative Fire"" #unAEL13 http://t.co/ogMxaaJ0X8",Sun Jul 28 18:50:58 +0000 2013,28/7/2013 19:50,,en,,1080245588,,https://pbs.twimg.com/profile_images/452310450537902080/cEkHDx5p_bigger.png,
pipcleaves,Ready for my #unael13 PK session :) https://t.co/jVD443K1cA,Sun Jul 28 18:50:29 +0000 2013,28/7/2013 19:50,,en,,30757847,,https://pbs.twimg.com/profile_images/452310450537902080/cEkHDx5p_bigger.png,
burcuaybat,Dave is giving a great example how to use Adobe Connect for recording Parent meetings and sharing it with parents who cannot join. #unAEL13,Sun Jul 28 18:50:08 +0000 2013,28/7/2013 19:50,"loc: 37.33030646,-121.89391821",en,,115590631,,https://pbs.twimg.com/profile_images/452310450537902080/cEkHDx5p_bigger.png,
mattniemitz,#unAEL13 Walked in on building a creative fire session. Glad to be here! http://t.co/vLQyvFWe6f,Sun Jul 28 18:47:13 +0000 2013,28/7/2013 19:47,,en,,618301783,,https://pbs.twimg.com/profile_images/452310450537902080/cEkHDx5p_bigger.png,
jbhuer,I'm going to have to start using Adobe Connect more. #unAEL13,Sun Jul 28 18:46:42 +0000 2013,28/7/2013 19:46,,en,,266056343,,https://pbs.twimg.com/profile_images/452310450537902080/cEkHDx5p_bigger.png,
burcuaybat,"""How people make excited about using it, let people create a product and see the benefits."" #unAEL13",Sun Jul 28 18:46:23 +0000 2013,28/7/2013 19:46,"loc: 37.33040973,-121.89397743",en,,115590631,,https://pbs.twimg.com/profile_images/452310450537902080/cEkHDx5p_bigger.png,
ncd3,"Brainstorming how to do a showcase: Educating the digital tribe. Bob Leneway., Howard Simkin, Brian Dawson and others. #unAEL13",Sun Jul 28 18:46:05 +0000 2013,28/7/2013 19:46,,en,,14520573,,https://pbs.twimg.com/profile_images/452310450537902080/cEkHDx5p_bigger.png,
pipcleaves,RT @openclssrm: #pechakucha sessions start in 15 minutes. #unael13 attendees join us at in Albertus or virtually at http://t.co/5igGUHbD6Z,Sun Jul 28 18:45:33 +0000 2013,28/7/2013 19:45,,en,,30757847,,https://pbs.twimg.com/profile_images/452310450537902080/cEkHDx5p_bigger.png,
coachk,#unAEL13 Penny D. keeps the convo focused. Ideas continue to unfold re: connecting w students to engage creativity. http://t.co/IdD5uupDY0,Sun Jul 28 18:45:27 +0000 2013,28/7/2013 19:45,,en,,3539791,,https://pbs.twimg.com/profile_images/452310450537902080/cEkHDx5p_bigger.png,
Mark_DuBois,Lots of great ideas on how to ignite a creative passion among students in current session at #unAEL13,Sun Jul 28 18:44:11 +0000 2013,28/7/2013 19:44,,en,,29551445,,https://pbs.twimg.com/profile_images/452310450537902080/cEkHDx5p_bigger.png,
openclssrm,#pechakucha sessions start in 15 minutes. #unael13 attendees join us at in Albertus or virtually at http://t.co/5igGUHbD6Z,Sun Jul 28 18:44:10 +0000 2013,28/7/2013 19:44,,en,,185511924,,https://pbs.twimg.com/profile_images/452310450537902080/cEkHDx5p_bigger.png,
coachk,"#unAEL13 Light a Creative Fire session has ideas flowing! Career coaching, grading, critiquing - nothing’s untouched! #eduawesome",Sun Jul 28 18:41:33 +0000 2013,28/7/2013 19:41,,en,,3539791,,https://pbs.twimg.com/profile_images/452310450537902080/cEkHDx5p_bigger.png,
openclssrm,@themaclab earns the award for #unael13 Most Valuable Player. Thanks for pitching in!,Sun Jul 28 18:41:28 +0000 2013,28/7/2013 19:41,,en,themaclab,185511924,3.62E+17,https://pbs.twimg.com/profile_images/452310450537902080/cEkHDx5p_bigger.png,
openclssrm,RT @Mark_DuBois: Unconference starting with over view by Melissa #unAEL13 http://t.co/QOIUKNiEU2,Sun Jul 28 18:41:01 +0000 2013,28/7/2013 19:41,,en,,185511924,,https://pbs.twimg.com/profile_images/452310450537902080/cEkHDx5p_bigger.png,
burcuaybat,Recording function might be a great feature for creating personlized learning environment. #unAEL13,Sun Jul 28 18:40:41 +0000 2013,28/7/2013 19:40,"loc: 37.33040973,-121.89397743",en,,115590631,,https://pbs.twimg.com/profile_images/452310450537902080/cEkHDx5p_bigger.png,
clschultz,RT @ncd3: Discussion of epub collaboration between K-12/higher ed. How to collaborate on a showcase. #unael13.,Sun Jul 28 18:38:15 +0000 2013,28/7/2013 19:38,,en,,17812663,,https://pbs.twimg.com/profile_images/452310450537902080/cEkHDx5p_bigger.png,
ncd3,Discussion of epub collaboration between K-12/higher ed. How to collaborate on a showcase. #unael13.,Sun Jul 28 18:32:40 +0000 2013,28/7/2013 19:32,,en,,14520573,,https://pbs.twimg.com/profile_images/452310450537902080/cEkHDx5p_bigger.png,
burcuaybat,You may use many file format for uploading content in Adobe Connect #unAEL13,Sun Jul 28 18:30:45 +0000 2013,28/7/2013 19:30,"loc: 37.33033026,-121.89397793",en,,115590631,,https://pbs.twimg.com/profile_images/452310450537902080/cEkHDx5p_bigger.png,
EMREFIRAT2012,RT @burcuaybat: Join us to learn more about adobe connect http://t.co/lStqXr68p9 #unAEL13,Sun Jul 28 18:30:03 +0000 2013,28/7/2013 19:30,,en,,611980125,,https://pbs.twimg.com/profile_images/452310450537902080/cEkHDx5p_bigger.png,
pipcleaves,Reading the #unael13 back channel and having some serious #FOMO….,Sun Jul 28 18:26:44 +0000 2013,28/7/2013 19:26,,en,,30757847,,https://pbs.twimg.com/profile_images/452310450537902080/cEkHDx5p_bigger.png,
burcuaybat,Join us to learn more about adobe connect http://t.co/lStqXr68p9 #unAEL13,Sun Jul 28 18:26:29 +0000 2013,28/7/2013 19:26,"loc: 37.33039005,-121.89397693",en,,115590631,,https://pbs.twimg.com/profile_images/452310450537902080/cEkHDx5p_bigger.png,
AdobeEdLeader,"@AdobeEdLeader: Tom Green ""How to Build a Fire"" group. #unAEL13 http://t.co/FsfCG69xDA",Sun Jul 28 18:24:54 +0000 2013,28/7/2013 19:24,,en,AdobeEdLeader,1080245588,,https://pbs.twimg.com/profile_images/452310450537902080/cEkHDx5p_bigger.png,
AdobeEdLeader,"""How to Light a Fire"" group. #unAEL13 http://t.co/Ie2QQgKoWR",Sun Jul 28 18:21:53 +0000 2013,28/7/2013 19:21,,en,,1080245588,,https://pbs.twimg.com/profile_images/452310450537902080/cEkHDx5p_bigger.png,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
